UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
AGG ASSAULT,163651121,12/31/2016,3210 MATHIESON DR.,208,Buckhead Forest,B,33.8432,-84.3773,
AGG ASSAULT,163660012,12/31/2016,234 NAPOLEON DR SW,104,Ashview Heights,T,33.74825,-84.42726,
LARCENY-FROM VEHICLE,163660025,12/31/2016,2 13TH ST NE,503,Midtown,E,33.78572,-84.38782,
LARCENY-FROM VEHICLE,163660117,12/31/2016,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018,
AUTO THEFT,163660177,12/31/2016,563 MEMORIAL DR SE,605,Grant Park,W,33.7464,-84.36911,
LARCENY-FROM VEHICLE,163660181,12/31/2016,437 GARTRELL ST SE,604,Sweet Auburn,M,33.75275,-84.37309,
AUTO THEFT,163660195,12/31/2016,389 PETERS ST SW,101,The Villages at Castleberry H,T,33.74421,-84.40557,
LARCENY-FROM VEHICLE,163660219,12/31/2016,1006 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78201,-84.35455,
AGG ASSAULT,163660298,12/31/2016,52 ROSWELL CT NE,208,Buckhead Forest,B,33.84898,-84.38211,
AGG ASSAULT,163660330,12/31/2016,1645 OAK KNOLL CIR SE,307,Lakewood Heights,Y,33.70989,-84.37784,
LARCENY-FROM VEHICLE,163660376,12/31/2016,484 TODD ST SE,604,Sweet Auburn,M,33.75195,-84.37249,
LARCENY-FROM VEHICLE,163660393,12/31/2016,232 RALPH DAVID ABERNATHY BLVD SW,303,Mechanicsville,V,33.73656,-84.39376,
LARCENY-FROM VEHICLE,163660408,12/31/2016,633 PRYOR ST SW,303,Mechanicsville,V,33.7376,-84.39486,
LARCENY-FROM VEHICLE,163660437,12/31/2016,2 5TH ST NE,505,Midtown,E,33.77641,-84.38709,
AGG ASSAULT,163660490,12/31/2016,232 FORSYTH ST SW,512,Downtown,M,33.74852,-84.39636,
LARCENY-NON VEHICLE,163660511,12/31/2016,2608 METROPOLITAN PKWY,311,Perkerson,X,33.68379,-84.40722,
LARCENY-FROM VEHICLE,163660518,12/31/2016,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119,
ROBBERY-PEDESTRIAN,163660534,12/31/2016,1646 W LAKE CT NW,105,West Lake,J,33.75901,-84.44253,
BURGLARY-RESIDENCE,163660552,12/31/2016,1688 BEECHER ST SW,404,Cascade Avenue/Road,S,33.73347,-84.44304,
ROBBERY-PEDESTRIAN,163660559,12/31/2016,3136 MARTIN L KING JR DR SW,406,,I,33.75107,-84.48903,
LARCENY-NON VEHICLE,163660571,12/31/2016,3167 ROSWELL RD NE ,208,Buckhead Forest,B,33.84156,-84.37857,
BURGLARY-NONRES,163660592,12/31/2016,1170 HOWELL MILL RD NW,501,Home Park,E,33.7858,-84.41208,
AUTO THEFT,163660623,12/31/2016,311 COURTLAND ST NE ,509,Downtown,M,33.76306,-84.38365,
BURGLARY-NONRES,163660662,12/31/2016,1366 MEMORIAL DR SE,609,Edgewood,O,33.7477,-84.34263,
ROBBERY-PEDESTRIAN,163660701,12/31/2016,3188 ROSWELL RD,206,South Tuxedo Park,B,33.84227,-84.37966,
LARCENY-NON VEHICLE,163660800,12/31/2016,610 SPRING ST NW,505,Midtown,E,33.77242,-84.38884,
LARCENY-NON VEHICLE,163660801,12/31/2016,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
LARCENY-FROM VEHICLE,163660804,12/31/2016,502 PRYOR ST SW,303,Mechanicsville,V,33.74114,-84.39442,
LARCENY-FROM VEHICLE,163660902,12/31/2016,416 GARTRELL ST SE,604,Sweet Auburn,M,33.75307,-84.37387,
LARCENY-NON VEHICLE,163660911,12/31/2016,3730 CARMIA DR SW,414,Princeton Lakes,P,33.65528,-84.5102,
LARCENY-FROM VEHICLE,163660967,12/31/2016,66 HOWELL ST SE,604,Sweet Auburn,M,33.75307,-84.37387,
LARCENY-FROM VEHICLE,163661020,12/31/2016,106 BAKER ST NE,509,Downtown,M,33.76246,-84.38386,
LARCENY-NON VEHICLE,163661094,12/31/2016,3393 PEACHTREE RD NE ,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,163661119,12/31/2016,396 PIEDMONT AVE NE,509,Downtown,M,33.76491,-84.3826,
LARCENY-FROM VEHICLE,163661150,12/31/2016,1957 HOWELL MILL RD NW,205,Channing Valley,C,33.80826,-84.41264,
LARCENY-NON VEHICLE,163661191,12/31/2016,3393 PEACHTREE RD NE,210,Lenox,B,33.84884,-84.36475,
BURGLARY-RESIDENCE,163661193,12/31/2016,965 CUNNINGHAM PL SW,104,Harris Chiles,T,33.74333,-84.41968,
AUTO THEFT,163661196,12/31/2016,334 MORGAN PL SE,611,East Lake,O,33.74341,-84.29127,
LARCENY-FROM VEHICLE,163661283,12/31/2016,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,205,Wildwood (NPU-C),C,33.81022,-84.41347,
LARCENY-FROM VEHICLE,163661351,12/31/2016,3539 NORTHSIDE PKWY NW @HOUSTONS,202,Randall Mill,A,33.85114,-84.43035,
LARCENY-NON VEHICLE,163661366,12/31/2016,650 PONCE DE LEON AVE NE,506,Midtown,E,33.77352,-84.36667,
LARCENY-FROM VEHICLE,163661427,12/31/2016,884 LAKE AVE NE,602,Inman Park,N,33.76117,-84.35879,
LARCENY-FROM VEHICLE,163661431,12/31/2016,264 WALKER ST ,507,Castleberry Hill,M,33.74732,-84.40293,
LARCENY-NON VEHICLE,163661441,12/31/2016,3393 PEACHTREE RD NE ,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,163661481,12/31/2016,935 PIEDMONT AVE NE,505,Midtown,E,33.77953,-84.38109,
LARCENY-FROM VEHICLE,163661511,12/31/2016,620 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.77151,-84.36812,
LARCENY-NON VEHICLE,163661513,12/31/2016,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
LARCENY-NON VEHICLE,163661531,12/31/2016,3393 PEACHTREE ROAD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,163661535,12/31/2016,3363 PIEDMONT RD NE,208,North Buckhead,B,33.84682,-84.37282,
LARCENY-NON VEHICLE,163661540,12/31/2016,3280 PEACHTREE RD NE,208,North Buckhead,B,33.84443,-84.3711,
LARCENY-NON VEHICLE,163661541,12/31/2016,104 HOWARD ST SE,610,Kirkwood,O,33.74964,-84.32297,
BURGLARY-RESIDENCE,163661544,12/31/2016,133 STAFFORD ST NW,105,Hunter Hills,K,33.75874,-84.42505,
LARCENY-FROM VEHICLE,163661559,12/31/2016,1225 CAROLINE ST NE ,609,Edgewood,O,33.75605,-84.34813,
LARCENY-FROM VEHICLE,163661570,12/31/2016,1595 OLYMPIAN WAY SW,404,Westview,T,33.73645,-84.4403,
BURGLARY-RESIDENCE,163661640,12/31/2016,400 CENTRAL PARK PL NE,603,Old Fourth Ward,M,33.76602,-84.37815,
LARCENY-NON VEHICLE,163661646,12/31/2016,3393 PEACHTREE ROAD NE,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,163661665,12/31/2016,3101 PIEDMONT RD NE,211,Peachtree Park,B,33.84075,-84.36979,
AGG ASSAULT,163661666,12/31/2016,251 RICHARDSON ST SW,303,Mechanicsville,V,33.74083,-84.39636,
ROBBERY-PEDESTRIAN,163661677,12/31/2016,2595 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77587,-84.47168,
LARCENY-FROM VEHICLE,163661696,12/31/2016,1092 SHELBY PL SE,607,Woodland Hills,W,33.72371,-84.35181,
BURGLARY-NONRES,163661719,12/31/2016,400 CENTRAL PARK PL NE,603,Old Fourth Ward,M,33.76602,-84.37815,
LARCENY-FROM VEHICLE,163661748,12/31/2016,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532,
BURGLARY-RESIDENCE,163661750,12/31/2016,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.70698,-84.3745,
AUTO THEFT,163661762,12/31/2016,752 MORELAND AVE SE,612,East Atlanta,W,33.73393,-84.34921,
LARCENY-NON VEHICLE,163661794,12/31/2016,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947,
LARCENY-FROM VEHICLE,163661798,12/31/2016,1132 TECHWOOD DR NW @COURTYARD BY MARRIOT,501,Home Park,E,33.7855,-84.39273,
LARCENY-FROM VEHICLE,163661843,12/31/2016,2115 FAULKNER RD NE,212,Lindridge/Martin Manor,F,33.81215,-84.35766,
LARCENY-FROM VEHICLE,163661887,12/31/2016,22 ELLIOTT ST SW ,507,Castleberry Hill,M,33.75377,-84.39844,
LARCENY-NON VEHICLE,163661890,12/31/2016,267 MARIETTA ST NW,508,Downtown,M,33.76083,-84.39538,
LARCENY-FROM VEHICLE,163661991,12/31/2016,43 WOODWARD AVE SE,605,Capitol Gateway,V,33.74556,-84.386,
BURGLARY-RESIDENCE,163662012,12/31/2016,3432 PIEDMONT RD NE,208,Buckhead Forest,B,33.84898,-84.37567,
LARCENY-FROM VEHICLE,163662020,12/31/2016,855 PEACHTREE ST NE,505,Midtown,E,33.77798,-84.38389,
LARCENY-FROM VEHICLE,163662029,12/31/2016,1241 EUCLID AVE NE,608,Candler Park,N,33.76676,-84.34724,
AUTO THEFT,163662238,12/31/2016,2914 OLDKNOW DR NW    ,112,Collier Heights,I,33.77157,-84.48312,
BURGLARY-RESIDENCE,163662256,12/31/2016,650 LYRIC WAY NW,112,Collier Heights,I,33.77304,-84.47748,
BURGLARY-RESIDENCE,163662270,12/31/2016,144 MORELAND AVE NE,606,Reynoldstown,N,33.75698,-84.34929,
LARCENY-FROM VEHICLE,163662318,12/31/2016,BAKER ST NE / PEACHTREE ST NE,508,Downtown,M,33.76226,-84.38755,
AGG ASSAULT,163662470,12/31/2016,590 SW CASCADE RD SW,402,West End,T,33.73812,-84.43276,
HOMICIDE,163660563113,12/31/2016,1090 HOLLYWOOD RD NW,109,Almond Park,G,33.78459,-84.46085,
