UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,170590036,02/28/2017,2345 CHESHIRE BRIDGE RD.,212,Lindridge/Martin Manor,F,33.81906,-84.3513,
BURGLARY-NONRES,170590037,02/28/2017,3910 CAMPBELLTON RD SW,413,,P,33.69141,-84.51637,
LARCENY-FROM VEHICLE,170590128,02/28/2017,99 W PACES FERRY RD NW,206,South Tuxedo Park,B,33.84107,-84.38362,
ROBBERY-PEDESTRIAN,170590187,02/28/2017,488 ELBRIDGE DR NW,106,Bankhead,K,33.76892,-84.43287,
LARCENY-FROM VEHICLE,170590359,02/28/2017,3556 EMPIRE BLVD SW,312,Glenrose Heights,Z,33.65717,-84.39095,
AUTO THEFT,170590646,02/28/2017,2689 RIVERS EDGE DR NE,210,Pine Hills,B,33.8281,-84.34865,
AUTO THEFT,170590700,02/28/2017,443 STERLING ST NE,608,Candler Park,N,33.76645,-84.34446,
BURGLARY-RESIDENCE,170590750,02/28/2017,1042 NORTH AVE NE,602,Poncey-Highland,N,33.77132,-84.35333,
LARCENY-FROM VEHICLE,170590760,02/28/2017,621 KENNOLIA DR SW,404,Westwood Terrace,I,33.73818,-84.44926,
AUTO THEFT,170590785,02/28/2017,3871 REDWINE RD SW,414,Princeton Lakes,P,33.66005,-84.50994,
LARCENY-FROM VEHICLE,170590796,02/28/2017,1092 ROSEDALE DR NE,601,Virginia Highland,F,33.78,-84.3516,
AUTO THEFT,170590797,02/28/2017,1646 N PELHAM RD NE,213,Morningside/Lenox Park,F,33.79939,-84.36003,
BURGLARY-RESIDENCE,170590889,02/28/2017,1319 ALLENE AVE SW,301,Capitol View,X,33.71884,-84.41313,
LARCENY-FROM VEHICLE,170590967,02/28/2017,1850 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70369,-84.40795,
LARCENY-FROM VEHICLE,170590972,02/28/2017,655 CLEVELAND AVE SW,309,Perkerson,X,33.68138,-84.41055,
LARCENY-FROM VEHICLE,170591130,02/28/2017,1845 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.80622,-84.36626,
BURGLARY-RESIDENCE,170591145,02/28/2017,784 MAGNOLIA WAY NW,102,Vine City,L,33.75804,-84.41379,
BURGLARY-RESIDENCE,170591156,02/28/2017,3475 EISENHOWER CIR SE,313,South River Gardens,Z,33.65957,-84.35837,
AGG ASSAULT,170591180,02/28/2017,864 HALL ST NW,109,Center Hill,J,33.77859,-84.46616,
LARCENY-FROM VEHICLE,170591270,02/28/2017,80 JESSE HILL JR DR NE,510,Downtown,M,33.75657,-84.38034,
LARCENY-FROM VEHICLE,170591326,02/28/2017,507 STERLING ST NE,608,Candler Park,N,33.76762,-84.34453,
AGG ASSAULT,170591408,02/28/2017,2412 SANDFALL CT SW,412,Sandlewood Estates,P,33.70594,-84.54335,
BURGLARY-RESIDENCE,170591533,02/28/2017,1463 MACKLONE ST NE,609,Edgewood,O,33.75583,-84.34016,
LARCENY-FROM VEHICLE,170591630,02/28/2017,572 SYDNEY ST SE,605,Grant Park,W,33.74104,-84.36815,
LARCENY-NON VEHICLE,170591640,02/28/2017,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,603,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-NON VEHICLE,170591654,02/28/2017,1414 LANSING ST,305,South Atlanta,Y,33.71605,-84.38464,
LARCENY-FROM VEHICLE,170591669,02/28/2017,1571 VENETIAN DR SW,408,Venetian Hills,S,33.71481,-84.44003,
LARCENY-FROM VEHICLE,170591679,02/28/2017,1981 FLAT SHOALS RD SE,612,East Atlanta,W,33.72602,-84.32324,
AUTO THEFT,170591740,02/28/2017,3170 DONALD LEE HOLLOWELL PKWY,112,Collier Heights,I,33.78577,-84.49055,
AUTO THEFT,170591768,02/28/2017,585 MCDANIEL ST SW,303,Mechanicsville,V,33.73896,-84.40206,
ROBBERY-PEDESTRIAN,170591927,02/28/2017,2516 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75242,-84.47042,
ROBBERY-COMMERCIAL,170591932,02/28/2017,1701 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70804,-84.40811,
AUTO THEFT,170591964,02/28/2017,502 PRYOR ST SW,303,Mechanicsville,V,33.74114,-84.39442,
LARCENY-NON VEHICLE,170592001,02/28/2017,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.6887,-84.36924,
ROBBERY-PEDESTRIAN,170592133,02/28/2017,2110 CAMPBELLTON RD SW,409,Campbellton Road,R,33.70577,-84.45812,
LARCENY-FROM VEHICLE,170592135,02/28/2017,858 MAIDEN LN NE,601,Virginia Highland,F,33.77472,-84.35941,
LARCENY-NON VEHICLE,170592218,02/28/2017,1110 WEDGEWOOD DR NW,113,Carey Park,G,33.78543,-84.47608,
ROBBERY-PEDESTRIAN,170592226,02/28/2017,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,170592250,02/28/2017,3539 NORTHSIDE PKWY NW,202,Randall Mill,A,33.85129,-84.43033,
LARCENY-NON VEHICLE,170592256,02/28/2017,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,170592273,02/28/2017,850 OAK ST,401,West End,T,33.74057,-84.4168,
BURGLARY-RESIDENCE,170592308,02/28/2017,565 WELLS ST SW,303,Mechanicsville,V,33.74005,-84.40649,
LARCENY-NON VEHICLE,170592332,02/28/2017,3400 AROUND LENOX DR NE,210,Lenox,B,33.84743,-84.3654,
LARCENY-FROM VEHICLE,170592342,02/28/2017,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815,
LARCENY-FROM VEHICLE,170592381,02/28/2017,269 POWELL ST SE,606,Cabbagetown,N,33.74725,-84.36598,
AGG ASSAULT,170592387,02/28/2017,3150 MIDDLETON RD NW,111,,I,33.7519,-84.49058,
AGG ASSAULT,170592399,02/28/2017,1233 OAKLAND DR SW,403,Oakland City,S,33.7213,-84.42769,
LARCENY-FROM VEHICLE,170592635,02/28/2017,3814 VERMONT RD NE,209,Brookhaven,B,33.85926,-84.35617,
LARCENY-FROM VEHICLE,170592640,02/28/2017,2277 PEACHTREE RD NE,211,,E,33.81595,-84.39051,
BURGLARY-RESIDENCE,170592701,02/28/2017,2850 GLENWOOD AVE SE,611,East Lake,O,33.73943,-84.2941,
AUTO THEFT,170592707,02/28/2017,428 ASHBURTON AVE SE,611,East Lake,O,33.74092,-84.29329,
LARCENY-FROM VEHICLE,170592777,02/28/2017,2160 CAMP GROUND RD SW,412,Kings Forest,P,33.69488,-84.51306,
AUTO THEFT,170592923,02/28/2017,1375 PEACHTREE ST NE,502,Midtown,E,33.79251,-84.38638,
LARCENY-FROM VEHICLE,170592989,02/28/2017,3333 PIEDMONT RD NE,208,North Buckhead,B,33.84592,-84.37234,
ROBBERY-COMMERCIAL,170592995,02/28/2017,1156 MEMORIAL DR SE,606,Reynoldstown,N,33.74781,-84.34977,
LARCENY-FROM VEHICLE,170592997,02/28/2017,14 WIEUCA TRCE NE,209,North Buckhead,B,33.86823,-84.36927,
LARCENY-FROM VEHICLE,170593016,02/28/2017,1133 HUFF RD,203,Blandtown,D,33.78978,-84.42557,
