UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,170310137,01/31/2017,19 SPRING LN NW,105,West Lake,J,33.7556,-84.43856,
LARCENY-NON VEHICLE,170310233,01/31/2017,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
AUTO THEFT,170310259,01/31/2017,39 BOOKER ST NW,105,Washington Park,K,33.75588,-84.42019,
LARCENY-FROM VEHICLE,170310558,01/31/2017,554 LAWTON ST SW,401,West End,T,33.73999,-84.42315,
AUTO THEFT,170310627,01/31/2017,1829 CAMPBELLTON RD SW       ,408,Venetian Hills,S,33.71954,-84.44871,
AUTO THEFT,170310687,01/31/2017,3157 MCMURRAY DR SW,409,Southwest,R,33.70496,-84.49107,
ROBBERY-COMMERCIAL,170310719,01/31/2017,3639 PEACHTREE RD NE,210,Ridgedale Park,B,33.85373,-84.35777,
LARCENY-FROM VEHICLE,170310743,01/31/2017,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912,
BURGLARY-RESIDENCE,170310842,01/31/2017,154 CANDLELIGHT LN SW,407,Baker Hills,H,33.75858,-84.52006,
BURGLARY-NONRES,170310888,01/31/2017,420 MCDONOUGH BLVD SE,305,Chosewood Park,Y,33.71436,-84.3741,
BURGLARY-RESIDENCE,170310942,01/31/2017,1441 GLENWOOD AVE SE,612,East Atlanta,W,33.73988,-84.3402,
AUTO THEFT,170310967,01/31/2017,2171 STAR MIST DR SW,409,Southwest,R,33.6973,-84.49142,
ROBBERY-PEDESTRIAN,170310989,01/31/2017,400 MERRITS AVE NE,603,Old Fourth Ward,M,33.76901,-84.37444,
LARCENY-FROM VEHICLE,170310997,01/31/2017,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81274,-84.36659,
LARCENY-NON VEHICLE,170310999,01/31/2017,2220 BOLTON RD NW,203,Bolton,D,33.81639,-84.46585,
BURGLARY-RESIDENCE,170311165,01/31/2017,3553 ROCKHAVEN CIR NE,210,Pine Hills,B,33.84787,-84.35109,
AGG ASSAULT,170311172,01/31/2017,1683 SANDTOWN RD SW,408,Venetian Hills,S,33.71714,-84.44365,
LARCENY-FROM VEHICLE,170311174,01/31/2017,1739 MARTIN L KING JR DR NW,104,Mozley Park,K,33.75144,-84.44382,
LARCENY-FROM VEHICLE,170311188,01/31/2017,517 CONSTELLATION OVERLO SW,407,Mays,H,33.74174,-84.50285,
AUTO THEFT,170311197,01/31/2017,2771 PEACHTREE RD NE,206,Garden Hills,B,33.83036,-84.38646,
