UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,163320684106,11/30/2016,I-75 S @ CENTRAL  AVE SW,313,Blair Villa/Poole Creek,Z,33.65241,-84.39626,
BURGLARY-RESIDENCE,163350032,11/30/2016,1706 NOBLE CREEK DR NW,204,Cross Creek,C,33.81482,-84.42295,
BURGLARY-RESIDENCE,163350388,11/30/2016,400 TRABERT AVE NW,207,Loring Heights,E,33.79429,-84.40109,
LARCENY-NON VEHICLE,163350424,11/30/2016,1617 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76385,-84.44072,
LARCENY-FROM VEHICLE,163350541,11/30/2016,2870 PEEK RD NW,112,Collier Heights,I,33.77559,-84.48045,
BURGLARY-NONRES,163350633,11/30/2016,12 ATLANTA AVE SE,304,Peoplestown,V,33.73048,-84.38742,
BURGLARY-NONRES,163350651,11/30/2016,384 NORTHYARDS BLVD NW,507,Downtown,M,33.76869,-84.39929,
LARCENY-FROM VEHICLE,163350702,11/30/2016,730 DARLINGTON CIR NE,211,Peachtree Park,B,33.83401,-84.36259,
LARCENY-FROM VEHICLE,163350775,11/30/2016,311 SCOTT ST SW,406,,I,33.74901,-84.49482,
LARCENY-FROM VEHICLE,163350978,11/30/2016,4242 W CLUB LN NE,209,Brookhaven,B,33.87043,-84.35482,
BURGLARY-RESIDENCE,163351032,11/30/2016,44 SPENCE AVE SE,611,East Lake,O,33.7506,-84.29574,
LARCENY-NON VEHICLE,163351037,11/30/2016,48 BROAD ST SW,511,Downtown,M,33.75283,-84.39232,
LARCENY-NON VEHICLE,163351074,11/30/2016,644 JOSEPH E LOWERY BLVD NW,106,Bankhead,K,33.77237,-84.41784,
LARCENY-NON VEHICLE,163351180,11/30/2016,1112 VALLEY VIEW RD SE,308,Leila Valley,Z,33.69131,-84.35188,
BURGLARY-RESIDENCE,163351182,11/30/2016,615 NORFLEET RD NW,205,Springlake,C,33.81322,-84.40847,
LARCENY-FROM VEHICLE,163351197,11/30/2016,1239 ALLENE AVE SW,301,Capitol View,X,33.72105,-84.41318,
LARCENY-NON VEHICLE,163351250,11/30/2016,730 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77446,-84.36424,
LARCENY-NON VEHICLE,163351259,11/30/2016,1615 FRIAR TUCK RD NE,502,Sherwood Forest,E,33.79877,-84.37844,
ROBBERY-PEDESTRIAN,163351412,11/30/2016,FAIRFIELD PL NW / VERBENA ST NW,108,Dixie Hills,J,33.75523,-84.46313,
BURGLARY-RESIDENCE,163351463,11/30/2016,651 LANGSTON DR SW,309,Perkerson,X,33.69559,-84.40982,
ROBBERY-PEDESTRIAN,163351489,11/30/2016,1711  WESTWOOD AVE SW,404,Westview,T,33.73874,-84.44332,
AGG ASSAULT,163351506,11/30/2016,142 JOSEPH E LOWERY BLVD SW,101,Atlanta University Center,T,33.75088,-84.41734,
AUTO THEFT,163351575,11/30/2016,1615 BUCHANAN ST NW,207,Berkeley Park,D,33.79892,-84.41321,
AUTO THEFT,163351629,11/30/2016,271 COLONIAL HOMES DR NW,205,Colonial Homes,C,33.81399,-84.39668,
LARCENY-NON VEHICLE,163351636,11/30/2016,1371 MARKET ST NW,501,Atlantic Station,E,33.7921,-84.39466,
LARCENY-NON VEHICLE,163351646,11/30/2016,985 MONROE DR NE @BELTLINE BUSINESS,506,Midtown,E,33.78135,-84.36828,
LARCENY-NON VEHICLE,163351694,11/30/2016,265 PEACHTREE CENTER AVE NE @Multiple,509,Downtown,M,33.76158,-84.38496,
LARCENY-NON VEHICLE,163351718,11/30/2016,3393 PEACHTREE RD NE,210,Lenox,B,33.84884,-84.36475,
LARCENY-FROM VEHICLE,163351737,11/30/2016,4383 ROSWELL RD NE,209,North Buckhead,B,33.87441,-84.3808,
AUTO THEFT,163351740,11/30/2016,2027 LOIS PL NW,110,Grove Park,J,33.77679,-84.45088,
LARCENY-FROM VEHICLE,163351788,11/30/2016,859 SPRING ST NW,505,Midtown,E,33.77823,-84.38837,
LARCENY-NON VEHICLE,163351800,11/30/2016,1133 EUCLID AVE NE,602,Inman Park,N,33.76451,-84.35,
LARCENY-NON VEHICLE,163351813,11/30/2016,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773,
LARCENY-FROM VEHICLE,163351858,11/30/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835,
BURGLARY-RESIDENCE,163351878,11/30/2016,875 HANK AARON DR SW,304,Peoplestown,V,33.73065,-84.38805,
LARCENY-NON VEHICLE,163351951,11/30/2016,842B RALPH D ABERNATHY BLVD SW,401,West End,T,33.73815,-84.41521,
