UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
HOMICIDE,163051391092,10/31/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749,
AUTO THEFT,163030548,10/31/2016,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149,
LARCENY-FROM VEHICLE,163050183,10/31/2016,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835,
AUTO THEFT,163050218,10/31/2016,2264 COUNTRY CLUB DR SW,409,Southwest,R,33.69384,-84.49398,
AUTO THEFT,163050227,10/31/2016,2360 SANDSPRING DR SW,412,Sandlewood Estates,P,33.70174,-84.53788,
LARCENY-FROM VEHICLE,163050265,10/31/2016,320 LUCKIE ST NW,508,Downtown,M,33.7632,-84.39637,
LARCENY-FROM VEHICLE,163050298,10/31/2016,31 BAKER ST NW,508,Downtown,M,33.76257,-84.38867,
LARCENY-FROM VEHICLE,163050348,10/31/2016,3800 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65635,-84.51327,
LARCENY-FROM VEHICLE,163050380,10/31/2016,250 PIEDMONT AVE NE @HILTON OFFICE TOWER,509,Downtown,M,33.76126,-84.38223,
AGG ASSAULT,163050389,10/31/2016,520 FULTON ST SW,303,Mechanicsville,V,33.74092,-84.40419,
LARCENY-NON VEHICLE,163050403,10/31/2016,720 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77276,-84.41089,
LARCENY-FROM VEHICLE,163050408,10/31/2016,950 MARIETTA ST,504,Marietta Street Artery,E,33.77682,-84.40822,
BURGLARY-RESIDENCE,163050418,10/31/2016,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968,
BURGLARY-NONRES,163050430,10/31/2016,1899 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80966,-84.36085,
BURGLARY-NONRES,163050536,10/31/2016,22 14TH ST NW,503,Midtown,E,33.78645,-84.38839,
AGG ASSAULT,163050541,10/31/2016,605 BOULEVARD NE ,603,Old Fourth Ward,M,33.76901,-84.37444,
LARCENY-FROM VEHICLE,163050545,10/31/2016,170 BOULEVARD SE @FULTON COTTON MILL,606,Cabbagetown,N,33.75135,-84.36812,
LARCENY-FROM VEHICLE,163050564,10/31/2016,660 9TH ST. NW.,501,Home Park,E,33.78051,-84.40903,
AUTO THEFT,163050571,10/31/2016,51 BOOKER ST NW,105,Washington Park,K,33.7562,-84.42019,
AGG ASSAULT,163050581,10/31/2016,3221 MARTIN L KING JR DR NW,111,,I,33.75284,-84.49256,
BURGLARY-NONRES,163050599,10/31/2016,1400 SPRING ST NW,502,Midtown,E,33.79213,-84.38929,
BURGLARY-RESIDENCE,163050681,10/31/2016,72 LANNON AVE NE,611,East Lake,O,33.75374,-84.29777,
LARCENY-FROM VEHICLE,163050687,10/31/2016,880 GLENWOOD AVE SE,606,Grant Park,W,33.74058,-84.35903,
AUTO THEFT,163050696,10/31/2016,987 HILBURN DR SE,612,East Atlanta,W,33.72745,-84.32765,
BURGLARY-RESIDENCE,163050714,10/31/2016,1227 LANIER BLVD,213,Morningside/Lenox Park,F,33.78827,-84.34955,
AUTO THEFT,163050720,10/31/2016,39 CHAPPELL RD NW,105,Hunter Hills,K,33.75618,-84.43332,
AUTO THEFT,163050756,10/31/2016,2867 PEEK RD NW,112,Collier Heights,I,33.77599,-84.4806,
AUTO THEFT,163050796,10/31/2016,3040 HEADLAND DR SW,411,Greenbriar,R,33.68948,-84.48818,
LARCENY-NON VEHICLE,163050811,10/31/2016,230 PEACHTREE ST NW,508,Downtown,M,33.75996,-84.38768,
AUTO THEFT,163050868,10/31/2016,1080 TUCKAWANNA DR SW,406,Audobon Forest West,I,33.72643,-84.48505,
LARCENY-NON VEHICLE,163050944,10/31/2016,395 NELSON ST SW,507,Castleberry Hill,M,33.75141,-84.40047,
LARCENY-NON VEHICLE,163050949,10/31/2016,200 PEACHTREE ST NW,508,Downtown,M,33.75889,-84.38806,
